Ruta;Descripción;Km por Viaje;Tarifa Vigente
;;;
;AREA METROPOLITANA DE SAN JOSE;;
;;;
I;INTERSECTORIALES AMSJ;; 
;;;
I;DESAMPARADOS-MORAVIA;;
;DESAMPARADOS-MORAVIA;13,15;360
;;;
I;URUCA - GUADALUPE ;;
;URUCA - GUADALUPE ;11,3;360
;;;
I;URUCA-ESCAZU;;
;URUCA-ESCAZU;9,25;360
;;;
01;SAN JOSE-Bº MEXICO;(GPS); 
;SAN JOSE-Bº MEXICO;4,435;135
;;;
01 BS;SAN JOSE-Bº MEXICO (BUSETAS);(GPS); 
;;;
05-05 A;SAN JOSE-Bº LA CRUZ Y RAMALES;(GPS);
;SAN JOSE-Bº LA CRUZ-SEMINARIO-C.C. DEL SUR;5,07;185
;SAN JOSE-Bº LA CRUZ-SAN CAYETANO-Bº EL CARMEN;4,07;185
;;;
02-02 A;SAN JOSE-SABANA-CEMENTERIO Y Bº LA PITAHAYA;; 
;SAN JOSE-SABANA-CEMENTERIO;3,32;145
;SAN JOSE-Bº LA PITAHAYA;2,75;145
;;;
3;SAN JOSE-Bº CRISTO REY-Bº CUBA;(GPS); 
;SAN JOSE-Bº CRISTO REY-Bº CUBA;2,945;240
;;;
04 BS;SAN JOSE-SAN RAFAEL ABAJO-LA FLORITA-SANTA CECILIA;(GPS); 
;SAN JOSE-SAN RAFAEL ABAJO-LA FLORITA-SANTA CECILIA;7,305;205
;;;
16 BS;SAN JOSE-Bº ESCALANTE-UNIVERSIDAD;; 
;SAN JOSE-Bº ESCALANTE-UNIVERSIDAD;6,5;260
;;;
06;SAN JOSE-Bº LUJAN;(GPS); 
;SAN JOSE-Bº LUJAN;3,85;290
;;;
59;SAN JOSE-CURRIDABAT-Bº LA LIA-EXT LOMAS DEL SOL;(GPS);
;SAN JOSE-CURRIDABAT-Bº LA LIA-EXT LOMAS DEL SOL;8,815;295
;;;
61;SAN JOSE-TIRRASES x CURRIDABAT;(GPS);
;SAN JOSE-TIRRASES x CURRIDABAT ;9,305;325
;;;
07;SAN JOSE-CEMENTERIO-SABANA;(GPS);
;SAN JOSE-CEMENTERIO-SABANA;3,39;195
;;;
13;SAN JOSE-SABANA-ESTADIO;(GPS);
;SAN JOSE-SABANA-ESTADIO;4,8825;195
;;;
13 MB;SAN JOSE-SABANA-ESTADIO (MICROBUSES);(GPS);
;;;
08;SAN JOSE-RUTA PERIFERICA;;
;SAN JOSE-RUTA PERIFERICA;11,67;340
;;;
09;SAN JOSE-SAN ANTONIO DE ESCAZU-EL CURIO;(GPS);
;SAN JOSE-SAN ANTONIO DE ESCAZU;10,6;440
;SAN JOSE-SAN ANTONIO DE ESCAZU-Bº EL CARMEN;10,63;440
;SAN JOSE-SAN ANTONIO DE ESCAZU-EL CURIO;11,65;440
;;;
